sample.id;synaflokkur;gear;cruise;station;vessel;year;month;day;pos.start.n;pos.start.w;pos.end.n;pos.end.w;depth.start;depth.end;stat.square;towlength;townumber;species;number;length;sex;maturity;age;ungutted;gutted;gonads;liver
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;28;99;1;4;10;9420;7780;191;818
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;29;106;1;4;13;12245;10140;315;1017
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;30;95;1;4;8;7435;6280;103;532
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;31;83;1;2;6;4882;4160;83;325
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;32;92;2;4;9;6890;5532;128;719
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;33;89;1;4;9;6380;5114;122;630
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;35;90;1;2;9;6320;5222;124;490
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;36;84;1;4;6;5806;4866;101;481
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;38;95;2;4;9;8350;7035;178;593
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;39;88;1;2;8;5196;4158;120;236
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;40;79;2;4;9;5372;4206;84;501
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;42;92;2;4;6;6235;5248;97;469
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;43;70;1;2;6;3278;2690;32;325
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;45;91;1;2;7;6720;5678;197;505
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;46;94;1;2;8;7540;5778;290;572
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;47;97;2;4;8;9230;7545;156;842
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;49;77;1;2;9;4180;3382;104;421
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;50;96;2;4;7;6945;5698;115;392
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;34;86;2;4;6;6275;5072;111;588
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;37;93;2;4;8;6035;4996;116;498
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;41;91;1;2;NA;7855;6650;186;574
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;44;77;2;4;7;3754;3064;66;349
486272;35;78;A12-2018;545;2350;2018;10;9;654297;292303;654581;292129;415;380;579;2.9;1;1;48;103;2;4;8;11280;8725;260;1023
