"SampleID","sample.id","synis.id","gear","cruise","station","vessel","year","month","day","pos.start.n","pos.start.w","pos.end.n","pos.end.w","depth.start","depth.end","stat.square","towlength","townumber","species","number","length","sex","maturity","age","ungutted","gutted","gonads","liver"
"18_155_Gm",4,488887,NA,"NYT1-2018",1,1755,2018,12,5,641617,221840,NA,NA,62,NA,NA,NA,NA,1,4,97,1,2,NA,"10610",NA,"250","770"
"18_156_Gm",5,488887,NA,"NYT1-2018",1,1755,2018,12,5,641617,221840,NA,NA,62,NA,NA,NA,NA,1,5,95,1,2,NA,"8170",NA,"730","510"
"18_157_Gm",6,488887,NA,"NYT1-2018",1,1755,2018,12,5,641617,221840,NA,NA,62,NA,NA,NA,NA,1,6,79,2,2,NA,"5030",NA,"110","50"
"18_158_Gm",7,488887,NA,"NYT1-2018",1,1755,2018,12,5,641617,221840,NA,NA,62,NA,NA,NA,NA,1,7,54,1,1,NA,"1910",NA,NA,"10"
"18_159_Gm",8,488887,NA,"NYT1-2018",1,1755,2018,12,5,641617,221840,NA,NA,62,NA,NA,NA,NA,1,8,99,2,4,NA,"8350",NA,"210","320"
"18_160_Gm",9,488887,NA,"NYT1-2018",1,1755,2018,12,5,641617,221840,NA,NA,62,NA,NA,NA,NA,1,9,105,2,4,NA,"9510",NA,"240","340"
"18_161_Gm",10,488887,NA,"NYT1-2018",1,1755,2018,12,5,641617,221840,NA,NA,62,NA,NA,NA,NA,1,10,93,2,4,NA,"5760",NA,"130","120"
"18_162_Gm",11,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,1,78,2,2,NA,"4057","3597","67","118"
"18_163_Gm",12,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,2,103,2,4,NA,"10105","8945","198","533"
"18_164_Gm",13,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,3,90,2,2,NA,"7525","6650","214","302"
"18_165_Gm",14,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,4,65,1,1,NA,"2582","2364",NA,"96"
"18_166_Gm",15,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,5,72,1,1,NA,"3435","3200",NA,"96"
"18_167_Gm",16,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,6,69,2,1,NA,"3073","2814",NA,"32"
"18_168_Gm",17,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,7,90,2,2,NA,"7980","6465","274","640"
"18_169_Gm",18,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,8,82,2,1,NA,"4852","4405",NA,"164"
"18_170_Gm",19,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,9,97,1,4,NA,"6980","5960","439","340"
"18_171_Gm",20,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,10,90,2,3,NA,"8085","7010","194","590"
"18_172_Gm",21,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,11,81,1,1,NA,"5419","4835",NA,"184"
"18_173_Gm",22,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,12,63,1,3,NA,"2700","2218","208","130"
"18_174_Gm",23,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,13,95,2,4,NA,"9820","8415","181","746"
"18_175_Gm",24,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,14,89,1,4,NA,"6275","5452","165","360"
"18_176_Gm",25,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,15,84,1,3,NA,"6635","5660","469","330"
"18_177_Gm",26,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,16,76,2,1,NA,"4150","3818",NA,"123"
"18_178_Gm",27,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,17,75,2,1,NA,"3943","3582",NA,"159"
"18_179_Gm",28,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,18,67,2,1,NA,"2387","2255",NA,"30"
"18_180_Gm",29,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,19,97,2,3,NA,"9105","7960","116","493"
"18_181_Gm",30,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,20,83,2,2,NA,"5205","4834",NA,NA
"18_182_Gm",31,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,21,67,2,1,NA,"2766","2613",NA,"32"
"18_183_Gm",32,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,22,105,2,3,NA,"13035","11065","533","1063"
"18_184_Gm",33,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,23,60,1,1,NA,"1927","1811",NA,"15"
"18_185_Gm",34,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,24,95,2,2,NA,"7885","6860","99","473"
"18_186_Gm",35,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,25,104,1,3,NA,"9925","8560","294","530"
"18_187_Gm",36,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,26,60,1,1,NA,"1855","1726",NA,"16"
"18_188_Gm",37,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,27,77,1,1,NA,"4734","4366",NA,"104"
"18_189_Gm",38,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,28,69,1,3,NA,"3143","2737","167","108"
"18_190_Gm",39,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,29,54,1,3,NA,"1586","1414","25","35"
"18_191_Gm",40,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,30,79,1,3,NA,"4990","4259","386","130"
"18_192_Gm",41,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,31,60,1,1,NA,"1971","1826",NA,"40"
"18_193_Gm",42,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,32,71,1,1,NA,"3224","3001",NA,"53"
"18_194_Gm",43,488888,NA,"NYT2-2018",1,2468,2018,12,7,640168,225691,NA,NA,68,NA,NA,NA,NA,1,33,107,2,4,NA,"13140","10090","315","522"
